id;name;description;producer;exporter;expiration_date;category
1;Steel;Assistant;cross-platform Principal;wireless Computer;2022-12-08;OTHER
2;deposit Track actuating;Unbranded Soap;applications Metical;throughput;2022-12-09;OTHER
3;compressing withdrawal green;Bedfordshire Lao neutral;Bike;Computer CFP orange;2022-12-09;CHEMICALS
4;mobile Vermont auxiliary;COM Implementation Awesome;homogeneous Crossroad;Chips De-engineered Tunnel;2022-12-09;FOOD
5;tangible;Cheese Renminbi;Consultant online;project hacking efficient;2022-12-09;OTHER
6;Practical User-friendly Data;sticky Harbors Automotive;Checking system-worthy;Steel;2022-12-09;CHEMICALS
7;Cambridgeshire Chair;Ukraine;Chicken Account transmit;clicks-and-mortar;2022-12-09;OTHER
8;Global Industrial Concrete;Pants bypassing Chief;Tuvalu;Square Checking Coordinator;2022-12-09;OTHER
9;Tuna;system Practical;executive;Assistant Berkshire program;2022-12-09;OTHER
10;convergence moratorium Stand-a;transmit;pink Sausages;Computers Man;2022-12-09;FOOD
